epoch,train/loss_total,train/loss_classifier,train/loss_box_reg,train/loss_objectness,train/loss_rpn_box_reg,metrics/mAP50,metrics/mAP50-95,metrics/precision,metrics/recall,lr,epoch_time_min
18,0.08899457726408143,0.02749650462496133,0.05360598639524809,0.0027222864270131865,0.005169799876540835,0.7510023713111877,0.4003170430660248,0.7642789010827752,0.6945339994972348,0.0017274575140626316,35.083555106321974
19,0.08303509570373813,0.025063683745591456,0.050681560891104115,0.002406566972921682,0.004883284153387932,0.7486096620559692,0.38492441177368164,0.7663952439373992,0.678043693438914,0.0014831583923104999,39.77571380138397
20,0.07635455189922723,0.022398439910871044,0.047197078161653215,0.0021393952569744943,0.004619638668695453,0.7747920751571655,0.4138199985027313,0.7943446846748936,0.7088613677308531,0.0012500000000000005,39.74688745737076
21,0.06950945035017132,0.01980111661257132,0.043696905427929665,0.0017243552763549698,0.004287073013145624,0.772154688835144,0.4220445454120636,0.7918694192177187,0.712849971719457,0.0010305368692688174,39.71279665629069
22,0.06350539734998731,0.01787622185515032,0.040071082412083514,0.0016126964246236403,0.003945396616915375,0.7729628086090088,0.41723304986953735,0.7726581247100546,0.7302209024635495,0.0008271734841028552,39.640092651049294
23,0.057637424496937775,0.01602630533400437,0.03652228462297224,0.0013756050023814423,0.0037132294088049597,0.7742213606834412,0.4256124496459961,0.7785545141726887,0.7302388396597955,0.0006421379363065149,39.626480487982434
24,0.052102092787088904,0.014318189740637135,0.03305118420730426,0.0012772070585811335,0.0034555118238251943,0.7773804664611816,0.425891637802124,0.780447047061344,0.7329782554047259,0.0004774575140626317,39.653080105781555
25,0.047209110354412005,0.012981432554539145,0.02989547170621626,0.0011471708286028913,0.0031850353374143713,0.7811986207962036,0.4305592179298401,0.796983582352285,0.7281435918384448,0.00033493649053890326,39.6246103644371
26,0.04303646122027084,0.01189762992433981,0.02704290188465207,0.0010924023209360997,0.0030035271083223144,0.7768079042434692,0.42948201298713684,0.8047402039593973,0.7204512841461371,0.00021613635589349758,39.61808138291041
27,0.039429091825206,0.010942714771141645,0.024567042670003793,0.0011283799092216527,0.0027909544316692745,0.7730604410171509,0.425735741853714,0.8175762221448564,0.7169401761773085,0.00012235870926211617,39.57863346338272
28,0.03682632401590986,0.010321786079220251,0.022774933554459347,0.0010158041629439003,0.0027138002388148678,0.7730969190597534,0.4250057637691498,0.7929355690232429,0.7381529401290431,5.463099816548578e-05,39.57997877995173
29,0.0351989937518454,0.009948401354112579,0.0216505136377123,0.0009557533569977865,0.002644325398148417,0.7693315148353577,0.42558130621910095,0.7923346512750629,0.7353676994301994,1.3695261579316498e-05,39.63808172146479
30,0.03451712908796215,0.009762166422989991,0.021129011847983485,0.001036402015897582,0.002589548787559691,0.7690550684928894,0.42442557215690613,0.8000798617860395,0.7259288063516005,0.0,39.608299080530806
