epoch,train/loss_total,train/loss_classifier,train/loss_box_reg,train/loss_objectness,train/loss_rpn_box_reg,metrics/mAP50,metrics/mAP50-95,metrics/precision,metrics/recall,lr,epoch_time_min
1,0.17293790517752308,0.06753736138909898,0.08318753700892348,0.014136995894933835,0.008076010752139632,0.6903055906295776,0.34193915128707886,0.673368010975588,0.6540489619993297,0.0049863047384206835,35.48176793257395
2,0.14884326763257766,0.05571224053855326,0.07820052149605625,0.008014907539092942,0.006915598185955649,0.7293184399604797,0.3773208260536194,0.7069271198759773,0.6636705002513825,0.004945369001834514,35.44153655767441
3,0.1421140118143735,0.052598361547635294,0.07659673147600227,0.0063531396739551875,0.006565779049327968,0.7376612424850464,0.38328221440315247,0.7203409156850229,0.6870887537707391,0.0048776412907378846,35.44031585454941
4,0.13806688580377155,0.05053536908421678,0.07543745831651305,0.0057358310403777665,0.006358227533484114,0.7542722821235657,0.3963497281074524,0.738696088597369,0.6870628299396682,0.004783863644106502,35.50021033287048
5,0.13372487666385252,0.048344609450063046,0.07333143765740603,0.005645550163797728,0.006403279419442477,0.728962779045105,0.379570335149765,0.6898732896121771,0.7009140114379084,0.004665063509461097,35.637013308207194
6,0.13242299700172933,0.04784421879831209,0.07304541338198214,0.005211933082721917,0.006321431831740496,0.7492353916168213,0.39205172657966614,0.7353475726562081,0.6769220294955589,0.0045225424859373685,35.286998903751375
7,0.12802214374606774,0.04568345826038739,0.07090407136906307,0.005128238513652865,0.006306375768555569,0.7396817803382874,0.3855854570865631,0.7220458896688879,0.6817759395424836,0.004357862063693485,35.39784562587738
8,0.12576139462762348,0.04433094940004679,0.06988653976689017,0.0051683894157560275,0.006375516107631011,0.74107825756073,0.3800714612007141,0.7240209520407461,0.6894503100385454,0.0041728265158971455,35.192285148302716
9,0.12450329646599315,0.043897043633988456,0.06942431819729382,0.004911008244364694,0.006270926353851702,0.7117860913276672,0.36709046363830566,0.7352123216067695,0.6239949932964639,0.003969463130731182,35.43932550350825
10,0.12329227184155493,0.04312237580590036,0.06918737423224826,0.004660132165433584,0.00632238978758924,0.7277690172195435,0.38226452469825745,0.7491756994250554,0.6408964146556058,0.0037499999999999994,35.47843352556229
11,0.11978852216627647,0.041509594009723386,0.06755187242304792,0.004546014167754584,0.006181041511333646,0.7437238693237305,0.38458409905433655,0.7278615072249263,0.6875476579520697,0.0035168416076895004,35.2719979763031
12,0.11686621306828587,0.03986937755007873,0.06643598774811757,0.0045052433107077945,0.006055604426706424,0.7367179989814758,0.3790803551673889,0.7517018165951945,0.6767765679989945,0.0032725424859373683,35.29319573243459
13,0.11396622801948227,0.03852320909052066,0.0651687271834009,0.004255002925282204,0.006019288814166775,0.7413314580917358,0.38825666904449463,0.7462875568066825,0.6895705023462377,0.003019779227044398,35.13695025046666
14,0.11058556201548417,0.03699298748264236,0.06367643453121181,0.004008948050386079,0.005907191833322811,0.7262781262397766,0.38007667660713196,0.7321969928080598,0.6651049522373051,0.0027613211581691338,35.17220311959584
15,0.10458108728175695,0.034341471936040445,0.060974417666546446,0.0035263197860887635,0.005738877930880827,0.7613841891288757,0.39469480514526367,0.7628603318172753,0.6918583459024635,0.0025000000000000005,35.24325261116028
16,0.09990845750497403,0.03206758592170285,0.05892834283080621,0.003341745251568266,0.005570783639637537,0.7589717507362366,0.39675527811050415,0.7693308089744497,0.688486022079772,0.0022386788418308668,35.220842309792836
17,0.09551867271965532,0.030245512058153033,0.05682008904377244,0.0030236819538766732,0.005429389645987306,0.7614412903785706,0.4029610753059387,0.7530705226262172,0.7114985283643371,0.0019802207729556014,35.04215353727341
