epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,9802.28,1.38055,1.14684,1.33368,0.75019,0.67869,0.74405,0.42775,1.27305,1.23592,1.2009,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,10104.1,1.36157,1.12687,1.32068,0.75852,0.67814,0.74647,0.42724,1.27112,1.21977,1.19924,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,10405,1.36384,1.12953,1.32068,0.76088,0.67519,0.7462,0.42955,1.26219,1.23401,1.19007,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,10709.7,1.34582,1.10929,1.31324,0.74555,0.67864,0.74798,0.43194,1.26117,1.1946,1.19288,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,11008.4,1.33748,1.09863,1.29937,0.76191,0.6753,0.75072,0.43566,1.25007,1.19935,1.1839,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,11308.6,1.32982,1.07826,1.29491,0.76432,0.67739,0.74865,0.43492,1.25461,1.19295,1.18868,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,11607.3,1.32191,1.06953,1.29297,0.75785,0.67425,0.7486,0.43557,1.24369,1.16967,1.18412,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,11906.4,1.31974,1.05984,1.28813,0.75363,0.69246,0.75371,0.44105,1.24658,1.14867,1.18857,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,12207.7,1.30902,1.04714,1.27792,0.75128,0.69232,0.75239,0.43928,1.2588,1.14042,1.19537,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,12500.7,1.33463,0.99934,1.30421,0.7677,0.68128,0.75427,0.44039,1.24667,1.1225,1.18534,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,12785.1,1.31845,0.96646,1.29294,0.77941,0.67916,0.75409,0.44141,1.24974,1.07778,1.18842,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,13069.5,1.30824,0.94994,1.28778,0.77284,0.68013,0.75435,0.44213,1.24716,1.08616,1.18992,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,13355.4,1.29629,0.92791,1.28298,0.7782,0.6815,0.75559,0.44208,1.25705,1.0644,1.19654,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,13639.4,1.2808,0.91722,1.2708,0.76219,0.69185,0.75674,0.44427,1.25449,1.05704,1.19449,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,13918.8,1.2716,0.89637,1.25981,0.77299,0.68849,0.75751,0.444,1.2521,1.03557,1.18955,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,14205.3,1.2551,0.87548,1.2529,0.7737,0.69281,0.76128,0.44431,1.25492,1.03012,1.19451,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,14492.7,1.25329,0.86085,1.247,0.77421,0.69006,0.76022,0.44443,1.25584,1.05086,1.19582,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,14778.6,1.24177,0.8547,1.23864,0.76729,0.69241,0.76013,0.44362,1.2541,1.05977,1.19456,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,15066,1.23089,0.84161,1.23196,0.77699,0.69131,0.76256,0.44491,1.25415,1.04815,1.19578,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
